0.708333,1,1,-0.320755,-0.105023,-1,1,-0.419847,-1,-0.225806,0,1,-1
0.583333,-1,0.333333,-0.603774,1,-1,1,0.358779,-1,-0.483871,0,-1,1
0.166667,1,-0.333333,-0.433962,-0.383562,-1,-1,0.0687023,-1,-0.903226,-1,-1,1
0.458333,1,1,-0.358491,-0.374429,-1,-1,-0.480916,1,-0.935484,0,-0.333333,1
0.875,-1,-0.333333,-0.509434,-0.347032,-1,1,-0.236641,1,-0.935484,-1,-0.333333,-1
0.5,1,1,-0.509434,-0.767123,-1,-1,0.0534351,-1,-0.870968,-1,-1,1
0.125,1,0.333333,-0.320755,-0.406393,1,1,0.0839695,1,-0.806452,0,-0.333333,0.5
0.25,1,1,-0.698113,-0.484018,-1,1,0.0839695,1,-0.612903,0,-0.333333,1
0.291667,1,1,-0.132075,-0.237443,-1,1,0.51145,-1,-0.612903,0,0.333333,1
0.416667,-1,1,0.0566038,0.283105,-1,1,0.267176,-1,0.290323,0,1,1
0.25,1,1,-0.226415,-0.506849,-1,-1,0.374046,-1,-0.83871,0,-1,1
0,1,1,-0.0943396,-0.543379,-1,1,-0.389313,1,-1,-1,-1,1
-0.375,1,0.333333,-0.132075,-0.502283,-1,1,0.664122,-1,-1,-1,-1,-1
0.333333,1,-1,-0.245283,-0.506849,-1,-1,0.129771,-1,-0.16129,0,0.333333,-1
0.166667,-1,1,-0.358491,-0.191781,-1,1,0.343511,-1,-1,-1,-0.333333,-1
0.75,-1,1,-0.660377,-0.894977,-1,-1,-0.175573,-1,-0.483871,0,-1,-1
-0.291667,1,1,-0.132075,-0.155251,-1,-1,-0.251908,1,-0.419355,0,0.333333,1
0,1,1,-0.132075,-0.648402,1,1,0.282443,1,0,1,-1,1
0.458333,1,-1,-0.698113,-0.611872,-1,1,0.114504,1,-0.419355,0,-1,-1
-0.541667,1,-1,-0.132075,-0.666667,-1,-1,0.633588,1,-0.548387,-1,-1,1
0.583333,1,1,-0.509434,-0.52968,-1,1,-0.114504,1,-0.16129,0,0.333333,1
-0.208333,1,-0.333333,-0.320755,-0.456621,-1,1,0.664122,-1,-0.935484,0,-1,-1
-0.416667,1,1,-0.603774,-0.191781,-1,-1,0.679389,-1,-0.612903,0,-1,-1
-0.25,1,1,-0.660377,-0.643836,-1,-1,0.0992366,-1,-0.967742,-1,-1,-1
0.0416667,-1,-0.333333,-0.283019,-0.260274,1,1,0.343511,1,-1,-1,-0.333333,-1
-0.208333,-1,0.333333,-0.320755,-0.319635,-1,-1,0.0381679,-1,-0.935484,-1,-1,-1
-0.291667,-1,1,-0.169811,-0.465753,-1,1,0.236641,1,-1,0,-1,-1
-0.0833333,-1,0.333333,-0.509434,-0.228311,-1,1,0.312977,-1,-0.806452,-1,-1,-1
0.208333,1,0.333333,-0.660377,-0.525114,-1,1,0.435115,-1,-0.193548,0,-0.333333,1
0.75,-1,0.333333,-0.698113,-0.365297,1,1,-0.0992366,-1,-1,-1,-0.333333,-1
